Driver Age,Driver Experience,Previous Accidents,Annual Mileage (x1000 km),Car Manufacturing Year,Car Age,Insurance Premium ($)
56,32,4,17,2002,23,488.35
46,19,0,21,2025,0,486.15
32,11,4,15,2020,5,497.55
60,0,4,19,1991,34,498.35
25,7,0,13,2005,20,495.55
38,13,2,11,1998,27,494.75
56,37,3,14,1998,27,485.6
36,18,1,19,2000,25,492.35
40,10,4,14,2011,14,497.1
28,10,5,12,2022,3,499.8
28,10,5,20,2025,0,499.9
41,2,3,24,2012,13,498.2
53,32,5,24,2023,2,488.7
57,5,2,15,1998,27,493.55
41,9,5,13,2013,12,498.45
20,2,1,23,1997,28,500.85
39,21,1,22,1996,29,491.4
19,1,4,23,2025,0,503.05
41,1,0,19,2007,18,494.25
61,12,2,14,1992,33,491.2
47,29,4,16,2017,8,489.5
55,1,2,12,1995,30,495.3
19,1,0,16,2010,15,498.2
38,0,5,13,2017,8,501.35
50,32,5,22,1990,35,492.5
29,8,0,22,2025,0,492.9
39,16,4,19,2010,15,495.85
61,8,0,21,2024,1,486.55
42,10,3,12,2002,23,496.0
44,14,1,25,1999,26,492.35
59,23,4,22,1999,26,491.0
45,27,2,22,2002,23,489.3
33,15,3,19,2013,12,495.55
32,14,4,15,1991,34,499.55
64,30,0,18,2011,14,480.5
61,4,0,12,2006,19,489.1
20,2,0,16,2025,0,496.2
54,10,0,13,2003,22,489.05
24,6,2,22,1999,26,500.1
38,20,3,22,2024,1,492.1
26,8,5,24,2014,11,502.2
56,34,1,20,1992,33,484.4
35,17,2,15,2006,19,493.55
21,0,2,22,2001,24,502.3
42,24,5,18,2013,12,494.0
31,13,5,20,2018,7,499.1
26,8,1,24,2014,11,496.2
43,7,1,11,2025,0,491.35
19,1,5,15,2015,10,505.15
37,19,0,13,1990,35,491.05
45,27,2,14,2009,16,488.2
64,13,4,12,2017,8,490.7
24,6,1,19,2005,20,497.85
61,34,1,13,2006,19,481.65
25,7,5,25,2017,8,502.45
64,36,3,12,2001,24,483.9
52,4,4,20,2016,9,496.3
31,13,4,21,2019,6,497.55
34,13,1,19,2023,2,491.95
53,25,0,17,1995,30,485.75
57,3,3,16,1996,29,495.9
21,3,4,11,2021,4,501.85
19,1,1,15,2021,4,498.55
23,5,4,22,2014,11,502.1
59,39,3,21,2022,3,482.35
21,3,3,24,1996,29,503.5
46,28,2,25,2001,24,489.05
35,17,5,21,2005,20,498.45
43,13,5,13,2005,20,497.65
61,31,1,11,2025,0,480.55
51,33,3,14,2002,23,487.4
27,9,2,23,1996,29,498.95
53,22,2,12,2025,0,486.4
31,13,4,12,1998,27,499.2
48,30,4,13,2021,4,488.45
65,24,2,18,2000,25,486.2
32,14,4,18,1997,28,499.1
25,7,3,22,2022,3,498.8
31,1,0,25,2012,13,496.05
40,13,3,17,2014,11,494.55
57,39,2,16,1997,28,483.5
38,20,2,19,2011,14,491.75
33,15,3,14,1993,32,497.3
62,5,4,22,1992,33,496.5
35,5,4,11,2018,7,498.75
64,2,5,18,2018,7,495.7
41,6,2,17,2023,2,494.05
43,7,1,17,2023,2,491.85
42,14,5,25,2017,8,496.95
62,28,4,13,2002,23,488.15
58,32,3,14,2004,21,486.1
46,28,4,20,2012,13,490.7
32,14,3,19,2015,10,495.85
62,26,5,25,1993,32,491.75
18,0,2,16,2015,10,501.2
42,24,4,25,1998,27,494.35
24,6,3,25,1994,31,502.25
26,8,2,15,2021,4,496.55
41,23,1,13,2009,16,488.65
18,0,3,19,2000,25,504.35
61,32,5,15,2004,21,488.55
25,3,1,15,2021,4,496.75
41,21,1,24,2017,8,489.0
28,1,0,14,2011,14,496.2
34,9,4,24,2006,19,499.6
25,4,3,14,2015,10,500.0
52,9,1,22,1996,29,492.4
52,32,0,11,2015,10,481.55
50,32,5,17,2014,11,489.85
22,4,2,19,1999,26,500.95
59,30,3,13,2008,17,486.05
56,35,1,22,2000,25,483.4
58,23,4,23,2002,23,490.95
45,14,0,25,1997,28,490.85
24,6,1,12,1993,32,498.7
26,7,4,13,2020,5,499.85
25,4,1,11,2017,8,496.65
29,11,3,16,2000,25,498.7
51,3,3,21,1990,35,497.95
50,11,3,21,2013,12,493.45
65,1,5,17,2020,5,495.55
40,22,5,21,2015,10,494.95
41,23,0,21,1994,31,489.05
54,35,3,12,2009,16,485.4
52,34,4,18,2000,25,488.8
61,25,1,24,2022,3,483.3
57,26,2,16,2016,9,485.5
39,4,4,24,2023,2,498.4
44,19,5,14,2004,21,495.8
52,10,5,15,2021,4,495.25
18,0,4,18,2010,15,504.8
52,34,5,24,1994,31,491.2
54,36,3,13,1995,30,486.55
64,5,0,13,2011,14,487.75
31,7,1,24,2007,18,496.2
20,2,0,25,2003,22,498.85
18,0,1,24,1999,26,501.7
22,4,1,21,2002,23,499.25
43,25,0,14,2020,5,485.1
31,12,4,11,2019,6,497.35
56,38,1,19,1992,33,483.15
44,17,0,18,2019,6,487.6
26,8,1,18,1995,30,497.8
32,14,2,24,2018,7,494.3
32,14,4,20,1997,28,499.2
43,11,3,16,2022,3,493.7
59,35,1,17,2006,19,481.95
30,3,2,16,2000,25,499.4
49,4,3,19,2002,23,496.75
56,36,3,13,2000,25,485.65
49,7,1,24,2020,5,491.3
21,3,0,13,2017,8,496.35
47,29,1,13,1995,30,487.05
54,8,2,20,2005,20,492.8
40,22,3,13,1993,32,493.75
56,13,1,19,2024,1,487.45
62,39,0,22,2015,10,478.0
32,14,1,14,2001,24,494.0
60,21,4,23,2000,25,491.35
46,10,0,17,2014,11,489.75
53,22,2,24,2007,18,488.8
30,0,3,25,2008,17,501.45
49,31,1,19,2012,13,484.65
24,6,0,21,2007,18,496.25
39,21,4,22,2015,10,494.0
45,27,0,17,1995,30,486.75
19,1,5,19,1993,32,507.55
59,0,4,22,2018,7,496.0
62,39,2,13,2023,2,479.75
23,5,3,25,2006,19,501.55
45,20,2,14,2005,20,490.7
45,8,1,24,1991,34,494.7
61,8,0,18,2023,2,486.5
61,9,5,16,1997,28,496.2
37,19,4,15,2002,23,495.95
47,29,4,23,1997,28,491.85
28,10,0,14,2019,6,492.7
45,24,5,18,2021,4,492.6
42,24,0,11,2025,0,484.95
56,10,1,24,2019,6,489.1
50,32,2,19,1990,35,487.85
18,0,4,11,2006,19,504.85
44,6,1,18,2009,16,493.4
30,12,2,14,2013,12,495.3
58,26,1,19,2011,14,484.45
20,2,5,24,2018,7,504.8
56,26,4,21,2011,14,489.45
23,5,0,15,1998,27,497.35
25,7,0,13,1999,26,496.15
44,24,2,19,2025,0,487.95
26,6,3,21,2017,8,499.35
54,5,5,24,2017,8,497.2
50,23,2,24,2010,15,488.8
59,32,3,19,2013,12,485.25
61,28,1,14,1991,34,485.0
41,21,5,21,1997,28,496.85
32,14,1,14,2016,9,492.5
49,27,4,22,2011,14,490.6
49,20,5,18,2016,9,493.5
41,6,3,12,2018,7,495.8
58,16,4,19,1992,33,493.85
29,11,0,23,2002,23,494.35
56,38,3,24,1999,26,485.7
19,1,2,16,2025,0,499.7
20,2,0,19,1998,27,499.05
54,27,0,18,2016,9,482.9
34,16,2,25,2023,2,492.85
19,1,5,25,1990,35,508.15
19,0,0,17,2021,4,497.45
45,27,3,23,2014,11,489.65
40,12,4,24,2018,7,496.3
54,29,0,11,1996,29,483.95
49,22,3,24,1992,33,492.6
50,18,1,22,2009,16,488.8
18,0,3,13,2009,16,503.15
36,18,4,21,2019,6,495.05
19,1,3,24,2024,1,501.7
61,28,2,12,2024,1,483.1
43,25,4,15,2016,9,491.55
49,15,5,25,2015,10,495.45
23,5,1,15,2003,22,498.35
49,18,2,15,2006,19,490.45
21,3,5,14,2007,18,504.9
28,0,3,15,2018,7,500.35
34,13,4,13,2009,16,497.55
55,1,1,22,2016,9,492.2
41,23,2,11,2007,18,490.25
22,4,5,15,1993,32,505.85
51,33,5,23,1990,35,492.05
23,3,1,19,1990,35,500.45
39,0,3,23,2015,10,498.85
28,7,1,19,2009,16,496.35
65,28,5,14,2012,13,488.1
33,15,0,13,1999,26,492.15
50,2,2,11,2000,25,495.45
26,8,1,12,1994,31,497.6
23,5,5,18,1990,35,505.8
33,9,3,11,2006,19,497.65
46,18,5,18,2011,14,495.2
20,2,3,23,2023,2,501.25
37,19,1,17,2018,7,489.95
53,22,3,25,1993,32,491.75
36,18,4,18,1994,31,497.4
43,25,4,22,2000,25,493.5
20,2,4,16,2010,15,503.7
36,18,0,22,2024,1,488.6
37,7,1,24,2001,24,495.6
49,0,5,25,2015,10,499.95
24,2,5,25,2008,17,505.05
58,23,0,19,1996,29,485.35
50,22,3,13,1996,29,491.45
57,7,0,20,2015,10,488.5
56,36,3,14,1994,31,486.3
35,2,3,23,2010,15,499.55
57,32,2,16,2003,22,485.0
18,0,5,18,1993,32,508.0
28,7,4,15,2012,13,500.35
45,27,3,13,2009,16,489.65
42,24,2,16,2004,21,490.3
40,22,5,14,2018,7,494.3
48,23,4,19,1997,28,493.25
47,13,3,23,2008,17,494.05
59,31,3,13,2017,8,484.85
52,15,0,14,2016,9,486.7
24,3,0,17,1993,32,498.35
33,15,5,17,2004,21,499.35
43,20,4,22,2024,1,492.6
65,13,3,22,1990,35,492.2
19,1,5,14,1992,33,507.4
18,0,5,16,2013,12,505.9
65,6,1,22,2016,9,488.7
29,9,0,23,2025,0,492.65
22,4,4,13,2023,2,501.25
54,32,3,16,2018,7,485.6
49,22,5,22,2013,12,493.4
26,8,3,12,2013,12,498.7
58,18,1,18,1993,32,488.6
52,18,4,12,1992,33,494.1
36,18,5,21,2023,2,496.15
65,28,3,17,2012,13,485.25
33,15,0,19,2012,13,491.15
20,1,1,11,1994,31,500.85
37,0,4,18,2020,5,500.0
41,4,1,17,1995,30,495.95
50,19,0,16,1999,26,487.7
41,10,4,16,1996,29,498.5
28,1,1,16,2010,15,497.9
25,2,2,19,2009,16,499.95
53,22,0,12,1992,33,486.7
55,11,0,11,2011,14,487.65
57,19,0,23,1993,32,487.25
37,4,2,22,2017,8,496.3
52,34,2,16,2001,24,485.6
65,37,3,20,2025,0,481.4
42,24,5,21,1994,31,496.05
52,8,1,18,2002,23,491.9
42,24,3,13,2012,13,490.85
46,28,1,22,2019,6,485.6
35,17,5,20,2014,11,497.5
63,23,2,11,2016,9,484.95
35,16,5,19,2003,22,498.85
19,1,2,23,2025,0,500.05
52,29,5,23,2005,20,491.55
33,15,3,11,2011,14,495.35
58,31,4,13,2010,15,487.25
53,16,3,18,2010,15,491.5
50,16,1,24,1997,28,490.7
21,3,3,13,2005,20,502.05
50,8,0,23,2020,5,489.25
31,13,1,14,1999,26,494.7
38,1,5,18,2021,4,500.9
65,24,1,11,2023,2,482.05
37,19,4,23,1998,27,496.75
25,7,2,23,2006,19,498.95
24,6,5,16,2000,25,504.2
20,2,1,11,2021,4,497.85
34,16,5,24,1999,26,499.7
50,28,5,11,2011,14,491.05
65,33,5,24,2006,19,487.7
29,11,2,18,1993,32,498.0
39,21,3,21,2014,11,492.55
39,10,5,14,2010,15,498.9
63,5,0,22,1990,35,490.5
47,17,4,11,2014,11,493.15
55,20,2,20,2025,0,487.0
55,35,1,17,2006,19,482.75
62,40,2,15,2013,12,480.55
25,7,1,15,1991,34,498.55
44,26,2,11,2004,21,489.05
44,16,1,24,2021,4,489.5
51,33,5,20,1995,30,491.4
38,20,3,21,1990,35,495.45
47,29,1,16,2012,13,485.5
50,11,1,24,2006,19,491.3
45,22,0,19,2023,2,485.55
64,21,1,19,2018,7,484.05
50,20,0,18,1998,27,487.6
22,4,4,15,2002,23,503.45
65,30,5,11,1995,30,489.05
36,5,0,19,1995,30,495.25
21,3,3,11,2009,16,501.55
52,34,5,18,1992,33,491.1
34,16,0,15,2006,19,491.05
61,11,5,13,2001,24,495.05
45,6,5,21,1990,35,501.25
47,9,5,17,2006,19,498.15
46,16,4,17,1992,33,496.15
63,25,3,19,2015,10,486.35
23,5,2,17,2004,21,499.85
52,27,2,23,2025,0,485.65
58,1,0,21,2021,4,489.55
54,0,5,24,2021,4,498.3
41,23,0,13,1993,32,488.75
46,25,4,21,2007,18,492.15
63,28,4,23,2008,17,487.85
48,20,1,25,2024,1,487.25
52,10,4,24,2003,22,496.0
50,32,1,23,2022,3,483.35
38,10,3,11,2003,22,496.65
49,31,0,18,2023,2,482.0
40,22,3,22,1993,32,494.2
50,32,4,13,2013,12,488.25
20,2,3,22,2018,7,501.7
35,17,3,18,2008,17,495.0
42,23,3,18,1995,30,493.1
59,21,4,23,2022,3,489.35
48,4,5,15,2008,17,499.15
20,2,3,23,1990,35,504.55
57,35,1,22,1994,31,483.8
63,19,4,23,2016,9,489.75
41,18,3,11,2005,20,493.45
49,31,5,23,1995,30,492.55
64,16,4,20,2002,23,491.7
39,21,2,17,2024,1,489.85
40,8,5,22,2008,17,499.9
19,1,1,20,2001,24,500.8
44,1,3,15,2005,20,498.15
59,8,2,18,1999,26,492.3
19,1,2,19,2014,11,500.95
43,25,4,21,2009,16,492.55
34,16,2,24,2020,5,493.1
57,0,1,17,1993,32,494.15
50,24,1,24,2012,13,486.8
26,8,0,23,1991,34,496.95
60,24,1,25,2011,14,484.95
65,38,5,17,1997,28,486.75
56,34,2,11,1996,29,485.05
46,2,1,25,2003,22,495.15
59,36,4,14,1992,33,487.4
43,25,0,12,2005,20,486.5
52,34,2,12,2008,17,484.7
42,24,0,12,2007,18,486.8
41,11,2,14,2005,20,494.2
30,12,4,24,1997,28,500.4
24,6,0,11,2022,3,494.25
53,16,3,25,2001,24,492.75
62,9,5,14,2000,25,495.6
37,11,5,12,1994,31,500.5
18,0,2,15,2016,9,501.05
25,7,3,13,2001,24,500.45
63,18,0,25,2006,19,485.15
33,7,3,22,1995,30,499.9
31,13,3,18,2022,3,495.6
29,11,0,14,1994,31,494.7
40,16,4,11,2017,8,494.55
32,14,3,11,2003,22,496.65
45,27,3,22,1994,31,491.6
51,15,4,20,2022,3,492.6
19,1,3,13,2008,17,502.75
49,7,3,25,2011,14,495.25
40,22,3,19,1994,31,493.95
39,17,5,17,1991,34,498.85
42,24,1,12,2019,6,487.1
39,11,4,25,1993,32,499.35
39,14,3,23,2022,3,493.95
59,25,5,19,2002,23,491.45
23,5,4,20,2009,16,502.5
32,14,2,12,1996,29,495.9
60,31,2,13,2004,21,484.45
54,9,3,21,2012,13,493.35
50,15,5,23,2003,22,496.35
25,6,5,20,2012,13,503.0
61,16,4,24,2008,17,491.9
61,22,4,12,2018,7,488.5
22,4,5,13,2009,16,504.15
56,20,4,16,2018,7,490.3
21,3,5,19,2013,12,504.55
23,5,1,19,2007,18,498.15
62,13,5,17,1999,26,494.65
49,14,2,22,1997,28,492.9
47,6,4,13,2015,10,496.45
64,8,5,14,2018,7,493.7
52,7,5,16,1999,26,498.4
57,22,4,21,2006,19,490.95
33,15,1,15,1991,34,494.55
30,12,1,12,1995,30,495.5
59,30,4,23,1994,31,489.45
47,29,0,16,2017,8,483.5
36,18,4,13,1994,31,497.15
34,16,4,24,2007,18,497.4
36,17,1,18,2015,10,491.1
45,27,1,12,2009,16,486.6
43,16,4,11,2016,9,494.05
54,13,4,19,2001,24,494.65
43,25,4,24,1996,29,494.0
40,22,1,22,1992,33,491.3
26,8,4,13,1999,26,501.65
29,11,4,21,2023,2,498.15
18,0,3,11,2014,11,502.55
18,0,0,17,2024,1,497.35
64,39,2,23,2005,20,481.65
51,25,0,25,1991,34,486.95
49,22,3,20,2013,12,490.3
65,38,2,15,1999,26,481.95
42,14,4,15,2011,14,495.55
57,3,3,24,2015,10,494.4
62,28,4,11,2016,9,486.65
18,0,1,25,2018,7,499.85
33,15,5,25,2009,16,499.25
56,12,3,19,2016,9,491.55
22,4,1,17,2009,16,498.35
39,21,3,18,2008,17,493.0
46,15,3,19,2009,16,493.35
20,1,1,16,2024,1,498.1
29,11,2,22,1991,34,498.4
43,25,0,15,2019,6,485.25
33,15,4,16,2023,2,495.9
54,12,3,21,2011,14,492.55
39,12,4,12,1992,33,498.5
46,17,5,14,1995,30,496.9
31,13,1,13,2004,21,494.15
45,27,4,23,2016,9,490.95
22,4,1,17,1999,26,499.35
64,38,4,19,1998,27,485.45
47,28,0,15,2022,3,483.25
63,28,0,16,2021,4,480.2
22,4,0,20,1995,30,498.4
29,9,0,24,2025,0,492.7
33,15,0,22,1991,34,493.4
43,24,0,22,2018,7,486.0
43,25,1,12,1993,32,489.2
65,19,3,13,1990,35,489.95
38,4,4,13,2008,17,499.55
56,0,0,22,2015,10,490.9
53,29,1,22,2014,11,484.4
50,2,1,25,1999,26,494.75
47,13,1,19,2004,21,491.25
54,29,3,25,2011,14,487.65
40,3,4,17,2010,15,499.45
27,9,3,18,2011,14,498.7
22,4,2,21,2025,0,498.45
53,24,1,20,2023,2,484.9
51,0,2,21,2019,6,494.45
48,14,5,19,2014,11,495.75
27,8,0,16,2017,8,493.8
36,14,0,14,1990,35,492.8
49,23,3,22,1993,32,492.1
